JOB_ID,TITLE,COMPANY,COUNTRY,SOURCE,URL,SALARY_MIN,SALARY_MAX,POSTED_DATE,COLLECTED_DATE
adzuna_5807960989,Data Analyst Trainee,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5807960989?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=275A39BD1A7A49936E5CD999C9D5D1B3CA480722,30000.0,50000.0,2026-07-20,2026-08-07
adzuna_5808132277,Trainee Data Analyst,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5808132277?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=9E29E3AF0D60995803CC1F15537ADDDB07F990B7,30000.0,50000.0,2026-07-20,2026-08-07
adzuna_5809138078,Trainee Data Analyst,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5809138078?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=D188017253815AE716B4659F923E46B560EAFE8C,30000.0,50000.0,2026-07-21,2026-08-07
adzuna_5809135959,Data Analyst Trainee,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5809135959?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=7B5370F552F0F9156F2D3FDCB47A89B7BF4E42A3,30000.0,50000.0,2026-07-21,2026-08-07
adzuna_5811205530,Senior Data Analyst,Tenth Revolution Group,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5811205530?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=C2EEA6DEDDC27CB2C40AE28CD7B74E0C3A8E6176,70000.0,80000.0,2026-07-22,2026-08-07
adzuna_5789988119,Ecommerce Data Analyst,Next Ltd,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5789988119?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=BF095B0B714FD0E23D945572FE4509E932360389,41782.03,41782.03,2026-07-06,2026-08-07
adzuna_5825453043,PBWM Data Analyst,Barclays,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5825453043?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=51CFC285637C14F51816FFA6D1DBC578A0337742,44473.56,44473.56,2026-08-02,2026-08-07
adzuna_5789989162,Lead Data Analyst,MAG ,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5789989162?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=88A0D7026CEBE8471F2A4D0E5B9655A0B3582BAE,57429.48,57429.48,2026-07-06,2026-08-07
adzuna_5814254977,Senior Data Analyst,Admiral Group Plc,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5814254977?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=95912F719796E9A0AB3093D08C43D2A24DC17368,40569.47,40569.47,2026-07-24,2026-08-07
adzuna_5832274608,Data Analyst,Workshop Recruitment,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5832274608?utm_medium=api&utm_source=8413080e,32000.0,40000.0,2026-08-07,2026-08-07
adzuna_5827608653,Trainee Data Analyst,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5827608653?utm_medium=api&utm_source=8413080e,30000.0,50000.0,2026-08-04,2026-08-07
remoteok_1136223,Cabin Crew Virtual Interviews PAN India,Akasa Air,remote,remoteok,https://remoteok.com/remote-jobs/1136223,0.0,0.0,,2026-08-07
remoteok_1136245,Professional,Pak Business World,remote,remoteok,https://remoteok.com/remote-jobs/1136245,0.0,0.0,,2026-08-07
remoteok_1136213,Freelance Designer,Control Shift Video,remote,remoteok,https://remoteok.com/remote-jobs/1136213,0.0,0.0,,2026-08-07
remoteok_1136132,Speculative application,Amann Girrbach MEA &amp; Turkey,remote,remoteok,https://remoteok.com/remote-jobs/1136132,0.0,0.0,,2026-08-07
remoteok_1136212,Resource Manager,The Story Shack,remote,remoteok,https://remoteok.com/remote-jobs/1136212,0.0,0.0,,2026-08-07
remoteok_1136227,Go South Coast,Kent Country,remote,remoteok,https://remoteok.com/remote-jobs/1136227,0.0,0.0,,2026-08-07
adzuna_5823138593,Business Analyst,Michael Page Finance,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5823138593?utm_medium=api&utm_source=8413080e,44000.0,46000.0,2026-08-01,2026-08-07
adzuna_5822590319,Business Analyst,Local Pensions Partnership,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5822590319?utm_medium=api&utm_source=8413080e,40000.0,45000.0,2026-07-31,2026-08-07
adzuna_5826617621,Business Analyst,FDM Group,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5826617621?utm_medium=api&utm_source=8413080e,35881.26,35881.26,2026-08-03,2026-08-07
adzuna_5826815795,Financial Reporting Analyst,Line Up Aviation,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5826815795?utm_medium=api&utm_source=8413080e,0.0,76980.0,2026-08-03,2026-08-07
adzuna_5119755250,Data and Reporting Analyst,Enorth Staffing Limited,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5119755250?se=1sPe4qCS8RGlDuOngCclFw&utm_medium=api&utm_source=8413080e&v=D6FB72D849A768DEB99E3AAD0EEFE2FDF954590F,47954.3,47954.3,2025-03-31,2026-08-07
adzuna_5799060903,Risk & Reporting Analyst,Catalyst,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5799060903?utm_medium=api&utm_source=8413080e,65000.0,75000.0,2026-07-13,2026-08-07
adzuna_5827093707,BI Reporting Analyst,Essential Recruitment,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5827093707?utm_medium=api&utm_source=8413080e,55000.0,55000.0,2026-08-04,2026-08-07
adzuna_5808583546,Risk & Reporting Analyst,Catalyst,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5808583546?utm_medium=api&utm_source=8413080e,75000.0,75000.0,2026-07-21,2026-08-07
adzuna_5827851882,Business Analyst,Howdens Joinery,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5827851882?utm_medium=api&utm_source=8413080e,49287.54,49287.54,2026-08-04,2026-08-07
adzuna_5827853475,Business Analyst,Elevation Recruitment Group,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5827853475?utm_medium=api&utm_source=8413080e,45000.0,60000.0,2026-08-04,2026-08-07
adzuna_5828118679,Gen BI Analyst,McGregor Boyall,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5828118679?utm_medium=api&utm_source=8413080e,156000.0,156000.0,2026-08-04,2026-08-07
adzuna_5808398158,Senior BI Analyst,Amtis professional Ltd,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5808398158?se=LlVF3qCS8RGlDuOngCclFw&utm_medium=api&utm_source=8413080e&v=30D01C393D1A3042BB7E8FC0210088718BA1EDEB,60000.0,70000.0,2026-07-20,2026-08-07
adzuna_5808309936,Junior Power BI Analyst,Gleeson Recruitment Group,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5808309936?se=LlVF3qCS8RGlDuOngCclFw&utm_medium=api&utm_source=8413080e&v=B487BFE681BA99BCC5D3483C1825A80AFA60DE72,52000.0,52000.0,2026-07-20,2026-08-07
adzuna_5829374442,Business Intelligence (BI) Analyst,Local Pensions Partnership,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5829374442?se=LlVF3qCS8RGlDuOngCclFw&utm_medium=api&utm_source=8413080e&v=59CF7370838F267BC2F6676EA16A21A3A2E625EC,30000.0,35000.0,2026-08-05,2026-08-07
adzuna_5814227787,BI Analyst,Erin Associates,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5814227787?utm_medium=api&utm_source=8413080e,32000.0,35000.0,2026-07-24,2026-08-07
adzuna_5798818191,BI Analyst,Nintendo,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5798818191?utm_medium=api&utm_source=8413080e,44406.64,44406.64,2026-07-13,2026-08-07
adzuna_5798899589,BI Analyst,Nintendo,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5798899589?utm_medium=api&utm_source=8413080e,44606.55,44606.55,2026-07-13,2026-08-07
adzuna_5827485642,BI Analyst,Verisure,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5827485642?utm_medium=api&utm_source=8413080e,47449.66,47449.66,2026-08-04,2026-08-07
adzuna_5693380222,Database Administrator,GovCIO,us,adzuna,https://www.adzuna.com/land/ad/5693380222?se=tHdoCKaS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=F02160725EE74FE680F7D444A18FD49FE23D5297,118080.51,118080.51,2026-04-08,2026-08-07
adzuna_5810192732,DataBase Administrator,Auburn Technical Svcs Group,us,adzuna,https://www.adzuna.com/land/ad/5810192732?se=tHdoCKaS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=97577A9D642F4CD2CB8AF084A21DE5126FB14CF5,79259.86,79259.86,2026-07-21,2026-08-07
adzuna_5818726380,Database Administrator,Stefanini,us,adzuna,https://www.adzuna.com/land/ad/5818726380?se=tHdoCKaS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=BC8D8B6E1A9B1ADEAB032A12EFBF36013A5A0B63,117028.38,117028.38,2026-07-28,2026-08-07
adzuna_5826794170,Database Administrator,Kforce Technology Staffing,us,adzuna,https://www.adzuna.com/land/ad/5826794170?se=tHdoCKaS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=B6CFBB6C7A5098EE58CE48861D691ED5A84960FB,159697.42,159697.42,2026-08-03,2026-08-07
adzuna_5832298907,Data Engineer,DCI Solutions,us,adzuna,https://www.adzuna.com/details/5832298907?utm_medium=api&utm_source=8413080e,160000.0,260000.0,2026-08-07,2026-08-07
adzuna_5767372791,Data Engineer,ManTech International,us,adzuna,https://www.adzuna.com/land/ad/5767372791?se=XI3LCqaS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=6614ED4A0CADE6BDE29113BB54E002FDB76CEC18,115000.0,160000.0,2026-06-17,2026-08-07
adzuna_5794101507,Data Engineer,ManTech International,us,adzuna,https://www.adzuna.com/land/ad/5794101507?se=XI3LCqaS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=34C085BC66EBBA29723BD45C4DB4737EC26691CB,125000.0,165000.0,2026-07-09,2026-08-07
adzuna_5824796834,Data Engineer,CarShield,us,adzuna,https://www.adzuna.com/land/ad/5824796834?se=XI3LCqaS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=956DA37DE055E8D3E7549EFC753A2AA825BDA950,130000.0,175000.0,2026-08-01,2026-08-07
adzuna_5793895752,Data Engineer,Stord,us,adzuna,https://www.adzuna.com/land/ad/5793895752?se=XI3LCqaS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=82E792D02BD34090C970C26685BF35D995158674,97059.17,97059.17,2026-07-09,2026-08-07
adzuna_5824798229,Data Engineer,MANTECH,us,adzuna,https://www.adzuna.com/land/ad/5824798229?se=XI3LCqaS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=EECDCFCB78A9DD314C840579924E8194C0F084ED,141931.8,141931.8,2026-08-01,2026-08-07
adzuna_5819785664,Office & Database Administrator,Reading Industrial Pertemps,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5819785664?utm_medium=api&utm_source=8413080e,25000.0,28000.0,2026-07-29,2026-08-07
adzuna_5793725772,Conflicts Database Administrator,LATHAM & WATKINS LLP,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5793725772?se=ROIH9qCS8RGOZItUbRfjpg&utm_medium=api&utm_source=8413080e&v=1154D174747CCD689FA51C6CA97D673D73A91321,50234.78,50234.78,2026-07-09,2026-08-07
adzuna_5789988916,Database Administrator (DBA),DXC Technology,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5789988916?se=ROIH9qCS8RGOZItUbRfjpg&utm_medium=api&utm_source=8413080e&v=0692076D823187B2A13AA3D03FFDFACC6983ACD2,59054.02,59054.02,2026-07-06,2026-08-07
adzuna_5805057645,SQL Database Administrator,VIQU IT Recruitment,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5805057645?se=ROIH9qCS8RGOZItUbRfjpg&utm_medium=api&utm_source=8413080e&v=B6BD4D09178DA44FED2E1E9362F0E72C3292E568,130000.0,156000.0,2026-07-17,2026-08-07
